"list_hover href","list_hover src","d-flex href","product-list__price","card__text"
"https://jewelbox.co.in/mini-round-distinct-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1759829853.jpg","https://jewelbox.co.in/mini-round-distinct-diamond-ear-studs/","₹48,188","Mini Round Distinct Diamond Ear Studs"
"https://jewelbox.co.in/briget-ribbon-knot-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1753693520.jpg","https://jewelbox.co.in/briget-ribbon-knot-diamond-earrings/","₹22,648","Briget Ribbon Knot Diamond Earrings"
"","","https://jewelbox.co.in/duchess-aria-pear-shape-diamond-ear-studs/","₹50,198","Duchess Aria Pear Shape Diamond Ear Studs"
"https://jewelbox.co.in/solitaire-in-heart-diamond-earstuds-for-kids/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1753688216.jpg","https://jewelbox.co.in/solitaire-in-heart-diamond-earstuds-for-kids/","₹15,764","Solitaire in Heart Diamond Earstuds for Kids"
"","","https://jewelbox.co.in/ivy-bloom-diamond-earrings/","₹52,830","Ivy Bloom Diamond Earrings"
"https://jewelbox.co.in/periwinkle-floral-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761990208.jpg","https://jewelbox.co.in/periwinkle-floral-diamond-earstuds/","₹18,835","Periwinkle Floral Diamond Earstuds"
"","","https://jewelbox.co.in/duchess-margaret-oval-diamond-ear-studs/","₹39,921","Duchess Margaret Oval Diamond Ear Studs"
"https://jewelbox.co.in/modern-fashionista-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1753697623.jpg","https://jewelbox.co.in/modern-fashionista-diamond-earrings/","₹15,856","Modern Fashionista Diamond Earrings"
"","","https://jewelbox.co.in/mini-heart-diamond-ear-studs/","₹41,735","Mini Heart Diamond Ear Studs"
"https://jewelbox.co.in/pure-elegance-diamond-ear-piercing-hoops/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761992092.jpg","https://jewelbox.co.in/pure-elegance-diamond-ear-piercing-hoops/","₹19,427","Pure Elegance Diamond Ear Piercing Hoops"
"https://jewelbox.co.in/dazzling-delicate-peony-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model_1746685547.jpg","https://jewelbox.co.in/dazzling-delicate-peony-diamond-earrings/","₹45,331","Dazzling Delicate Peony Diamond Earrings"
